"","filename","type","docTitle","year","title","act","act_number","scene","scene_number","index","speaker_stage","speaker","spoke","stage"
"1","Abracadabra_mod.jsonl",4,"Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer","(1753)","Husspøgelse","Første akt",1,"Scene 1",1,41,NA,"Arv","En tilkommende strikke, Henrik.",NA
"2","Abracadabra_mod.jsonl",4,"Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer","(1753)","Husspøgelse","Første akt",1,"Scene 2",2,2,NA,"Arv","Ak, ak! Jeg kan ikke mere. Jeg tror ikke at der i det hele land er sådan en fortvivlet skælm som denne Henrik. Ak, du ulyksalige Jeronimus, hvor vil du blive til mode når du ved din hjemkomst finder dit hus i sådan forvirrelse, din eneste søn at være forfalden til yderste liderlighed, dine midler skammeligt fordøjet og din gård på landet således forfalden at den ikke kan istandsættes igen. Men der ser jeg fogeden kommer. Jeg må fortælle ham hvad mig er hændt.",NA
"3","Abracadabra_mod.jsonl",4,"Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer","(1753)","Husspøgelse","Første akt",1,"Scene 3",3,19,NA,"Arv","Jeg skøtter hverken om at banke eller at blive banket; fogeden må selv banke. Jeg fik min frokost, nu får vi at se hvorledes I bli'r trakteret.",NA
"4","Abracadabra_mod.jsonl",4,"Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer","(1753)","Husspøgelse","Første akt",1,"Scene 4",4,30,NA,"Arv","Du gi'r frokost som du er mand til.",NA
"5","Abracadabra_mod.jsonl",4,"Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer","(1753)","Husspøgelse","Første akt",1,"Scene 5",5,19,NA,"Ephraim","Du har forrådt og taglik forråder din herre, det wet ick.",NA
"6","Abracadabra_mod.jsonl",4,"Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer","(1753)","Husspøgelse","Første akt",1,"Scene 6",6,30,NA,"Leander","Nu kommer den forbandede melankoli igen. Spil nok op et andet stykke, som er mere lystigt, og som kan have bedre virkning.",NA
"7","Abracadabra_mod.jsonl",4,"Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer","(1753)","Husspøgelse","Første akt",1,"Scene 7",7,19,NA,"Henrik","Og med ham ser jeg at filosofien drives på dør.",NA
"8","Abracadabra_mod.jsonl",4,"Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer","(1753)","Husspøgelse","Første akt",1,"Scene 8",8,19,NA,"Henrik","Jeg min tro ikke heller. Kom da kun ind, I gode herrer.",NA
"9","Abracadabra_mod.jsonl",4,"Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer","(1753)","Husspøgelse","Anden akt",2,"Scene 1",1,2,NA,"Henrik","Hej, kom herud! Jeg har magtpåliggende ting at fortælle jer.",NA
"10","Abracadabra_mod.jsonl",4,"Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer","(1753)","Husspøgelse","Anden akt",2,"Scene 2",2,34,NA,"Henrik","Så herind da, og fly mig hovednøglen.",NA
"11","Abracadabra_mod.jsonl",4,"Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer","(1753)","Husspøgelse","Anden akt",2,"Scene 3",3,84,NA,"Henrik","Se, nu blev det stille igen. Stå nu kun op, og lad os liste os bort. Men se, der kommer den forbandede jøde, og det i den allerubelejligste tid.",NA
"12","Abracadabra_mod.jsonl",4,"Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer","(1753)","Husspøgelse","Anden akt",2,"Scene 4",4,89,NA,"Henrik","Ha ha ha! Nu fik jeg ham at løbe med limstangen, thi manden er alt fanden i vold henne i Jylland og har sat sig ned i Mariager.",NA
"13","Abracadabra_mod.jsonl",4,"Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer","(1753)","Husspøgelse","Anden akt",2,"Scene 5",5,31,NA,"Henrik","Men der ser jeg han kommer. Bliv kun her lidt stående indtil jeg siger at jeg har meldt ham an.",NA
"14","Abracadabra_mod.jsonl",4,"Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer","(1753)","Husspøgelse","Anden akt",2,"Scene 6",6,79,NA,"Leonard","Alt forladt.",NA
"15","Abracadabra_mod.jsonl",4,"Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer","(1753)","Husspøgelse","Anden akt",2,"Scene 7",7,36,NA,"Jeronimus","Ej, snak! Hvad byrde i 2000 dukater? Bliv du kun her til jeg kommer tilbage.",NA
"16","Abracadabra_mod.jsonl",4,"Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer","(1753)","Husspøgelse","Anden akt",2,"Scene 8",8,2,NA,"Henrik","Den gamle skælm ville ikke tro mig. Jeg må narre ham lidt mere. Jeg må affilutere ham de 2000 dukater når han kommer tilbage. Dermed kan monsieur Leander betale al sin gæld. Hvad middel skal jeg nu bruge dertil? Jeg vil agere genganger og jage sådan skræk ind i ham, at han for at redde livet skal levere mig guldbørsen. Det skal min tro gå rigtig an. Men hvad vil udfaldet blive på alt dette? Jeg kan jo derved redde mig selv fra galgen, som jeg ved alle disse skælmsstykker har fortjent. Jeg kan jo betinge mig pardon ved at skaffe ham guldbørsen tilbage. Det går rigtig an. Jeg er alt lykkeligt kommet i havnen. Jeg kaster anker og slår mit sind til rolighed. Nu må jeg først se til at skaffe det drukne selskab af huset.",NA
"17","Abracadabra_mod.jsonl",4,"Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer","(1753)","Husspøgelse","Tredje akt",3,"Scene 1",1,21,NA,"Henrik","Jeg vil dog denne gang for din dydige søns skyld spare din person, og du skal have fred herefter.",NA
"18","Abracadabra_mod.jsonl",4,"Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer","(1753)","Husspøgelse","Tredje akt",3,"Scene 2",2,2,NA,"Jeronimus","Ak, i en ulyksalig tid gjorde jeg denne lybske rejse. Ak, jeg kan ikke mere. Dog må jeg takke himmelen at jeg slap så let; og når jeg tænker mig om, må jeg være glad ved at jeg er skilt ved de uretfærdige penge hvorom jeg hørte at gengangeren vidste besked så at han også kunne sige summen netop. Jeg gør bedst at tie ved denne hændelse, thi jeg beskæmmer mig kun selv ved at give den til kende. Men hvad mon den lakaj vil som går lige til huset?",NA
